survey_id,site_code,survey_date,time_start,time_end,observer,code,common_name,distance,bird_count,observation_notes,seen,heard,direction,qccomment
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,MODO,Mourning Dove,FT,2,,True,True,E,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,CACW,Cactus Wren,20-40,1,,False,True,SE,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,VERD,Verdin,20-40,1,,False,True,SE,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,MODO,Mourning Dove,FT,2,,True,False,NE,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,BTSP,Black-throated Sparrow,10-20,2,,False,True,E,
113,X-8,2000-08-04,07:30:00,07:45:00,DiSt,HOFI,House Finch,10-20,1,,False,True,E,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,VERD,Verdin,10-20,2,,False,True,S,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,MODO,Mourning Dove,FT,2,,True,False,S,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,MODO,Mourning Dove,FT,4,,True,False,SW,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,BTSP,Black-throated Sparrow,20-40,3,,False,True,S,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,BTSP,Black-throated Sparrow,10-20,2,,False,True,S,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,MODO,Mourning Dove,FT,5,,True,False,SE,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,MODO,Mourning Dove,FT,4,,True,False,W,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,BTSP,Black-throated Sparrow,10-20,1,,True,True,W,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,TUVU,Turkey Vulture,FT,1,,True,False,NW,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,GIWO,Gila Woodpecker,40+,2,,False,True,SE,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,CBTH,Curve-billed Thrasher,40+,1,,False,True,S,
119,W-6,2000-08-04,08:30:00,08:45:00,BeRa,VERD,Verdin,40+,2,,False,True,E,
